Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
China,0.360857913,0.383373318,0.426915713,0.444731282,0.56432467,0.734547898,0.863746718,0.961603953,1.029043098,1.093997267,1.21134687,1.339395719,1.470550015,1.660287966,1.955347005,2.285965892,2.752131773,3.550342425,4.594306849,5.101702433,6.087164527,7.551500426,8.532230724,9.570405759,10.43852915,11.01554235,11.13794567,12.14349145,13.60815186
Germany,1.764967949,1.861873895,2.12313087,2.068555542,2.205966012,2.591620035,2.503665194,2.218689375,2.24322552,2.199957383,1.949953934,1.95064877,2.079136081,2.505733634,2.819245096,2.861410272,3.002446368,3.439953463,3.752365607,3.418005001,3.417094563,3.757698281,3.543983909,3.752513503,3.898726504,3.381389339,3.495162856,3.693204332,3.996759291
EU,7.578747012,7.859703679,8.562873941,7.808850935,8.293218409,9.630019304,9.840487002,9.287506354,9.606952143,9.590812463,8.910186719,9.012853083,9.827530208,11.96020867,13.8089529,14.44319318,15.40859672,17.81075746,19.16361525,17.12662466,17.00961481,18.37431529,17.3168644,18.05272236,18.66866752,16.44648669,16.55135616,17.34959504,18.75610069
France,1.269179617,1.269276828,1.401465923,1.322815613,1.39398275,1.601094756,1.605675087,1.452884918,1.503108739,1.49264756,1.36224894,1.376465324,1.494286655,1.840480813,2.115742488,2.196126104,2.318593652,2.657213249,2.918382891,2.690222284,2.642609549,2.86140817,2.683825225,2.811077726,2.852165761,2.438207896,2.471285607,2.586285407,2.777535239
UK,1.093169389,1.142797178,1.17965953,1.061388722,1.140489746,1.335862395,1.409410296,1.553623117,1.641666115,1.668270506,1.648269027,1.625799626,1.773015588,2.043831837,2.403614061,2.525005455,2.697151794,3.084117647,2.904036765,2.394785792,2.452899665,2.634895693,2.676605418,2.753565034,3.034729456,2.896420587,2.659238932,2.63786634,2.825207948
India,0.320979034,0.270105348,0.288208437,0.27929603,0.327275591,0.360281961,0.392897064,0.415867764,0.421351488,0.458820428,0.468394948,0.485441026,0.514937961,0.6076993,0.709148532,0.820381672,0.940259892,1.216735427,1.198895499,1.341886699,1.675615313,1.823049928,1.827637859,1.856722121,2.039127446,2.103587814,2.290432075,2.652551203,2.726322617
Ireland,0.04936468,0.049847127,0.055985505,0.052480252,0.057166036,0.069222624,0.07588063,0.082826142,0.090082052,0.098692079,0.099852958,0.109135254,0.127949875,0.16428469,0.193870693,0.211649035,0.232083468,0.269917943,0.275038896,0.236316406,0.222148757,0.237472362,0.224999484,0.238543539,0.258471885,0.291499812,0.300523298,0.33483401,0.382487491
Japan,3.132817653,3.584420077,3.908809463,4.454143877,4.907039384,5.449116305,4.833712542,4.414732844,4.032509761,4.562078822,4.887519661,4.30354426,4.115116279,4.445658071,4.815148854,4.755410631,4.530377225,4.515264514,5.037908465,5.231382675,5.700098115,6.157459595,6.203213121,5.155717056,4.850413536,4.389475623,4.926667087,4.859950559,4.970915557
US,5.963144,6.158129,6.520327,6.858559,7.287236,7.639749,8.073122,8.577554463,9.062818211,9.630664202,10.25234546,10.5818214,10.93641905,11.45824388,12.21372915,13.03664023,13.81461141,14.45185865,14.71284408,14.44893303,14.99205273,15.5425811,16.19700735,16.78484919,17.52174653,18.21929758,18.70718824,19.48539385,20.4941
California,,,,,,,,1.0705236,1.1478416,1.247093,1.366561,1.3841112,1.4364309,1.527294,1.6322169,1.7538662,1.8747373,1.955856,1.9906782,1.9200618,1.9746145,2.0500568,2.1444973,2.2627712,2.3951623,2.5537722,2.6577976,2.8191107,2.9977328
Texas,,,,,,,,0.6102565,0.6456969,0.6813354,0.738871,0.7730067,0.7872578,0.8297644,0.906321,0.9864013,1.0852949,1.1785831,1.2373949,1.1634013,1.2371968,1.3312206,1.4113787,1.5022498,1.5728184,1.568457,1.5656322,1.6656318,1.8025112
