observation_date,UK,notes,Euro,notes2
2014-10-27,1.6133,British Pound,1.2712,
2014-10-28,1.6157,,1.2747,
2014-10-29,1.6149,,1.2762,
2014-10-30,1.6023,,1.2622,
2014-10-31,1.5999,,1.2530,
2014-11-03,1.5986,,1.2487,
2014-11-04,1.5991,,1.2554,
2014-11-05,1.5984,,1.2488,
2014-11-06,1.5862,,1.2414,
2014-11-07,1.5844,,1.2422,
2014-11-10,1.5857,,1.2425,
2014-11-11,,,,
2014-11-12,1.5815,,1.2456,
2014-11-13,1.5717,,1.2476,
2014-11-14,1.5657,,1.2494,
2014-11-17,1.5645,,1.2447,
2014-11-18,1.5648,,1.2534,
2014-11-19,1.5670,,1.2548,
2014-11-20,1.5683,,1.2526,
2014-11-21,1.5672,,1.2394,
2014-11-24,1.5701,,1.2427,
2014-11-25,1.5714,,1.2472,
2014-11-26,1.5787,,1.2503,
2014-11-27,,,,
2014-11-28,1.5638,,1.2438,
2014-12-01,1.5743,,1.2490,
2014-12-02,1.5651,,1.2390,
2014-12-03,1.5700,,1.2304,
2014-12-04,1.5707,,1.2432,
2014-12-05,1.5600,,1.2304,
2014-12-08,1.5625,,1.2292,
2014-12-09,1.5694,,1.2415,
2014-12-10,1.5689,,1.2425,
2014-12-11,1.5712,,1.2397,
2014-12-12,1.5728,,1.2484,
2014-12-15,1.5663,,1.2470,
2014-12-16,1.5736,,1.2504,
2014-12-17,1.5652,,1.2406,
2014-12-18,1.5662,,1.2291,
2014-12-19,1.5609,,1.2235,
2014-12-22,1.5618,,1.2252,
2014-12-23,1.5517,,1.2180,
2014-12-24,1.5549,,1.2188,
2014-12-25,,,,
2014-12-26,,,,
2014-12-29,1.5524,,1.2179,
2014-12-30,1.5573,,1.2174,
2014-12-31,1.5578,,1.2101,
2015-01-01,,,,
2015-01-02,1.5361,,1.2015,
2015-01-05,1.5234,,1.1918,
2015-01-06,1.5174,,1.1936,
2015-01-07,1.5073,,1.1820,
2015-01-08,1.5118,,1.1811,
2015-01-09,1.5151,,1.1830,
2015-01-12,1.5168,,1.1832,
2015-01-13,1.5166,,1.1779,
2015-01-14,1.5234,,1.1806,
2015-01-15,1.5161,,1.1598,
2015-01-16,1.5132,,1.1517,
2015-01-19,,,,
2015-01-20,1.5162,,1.1559,
2015-01-21,1.5118,,1.1584,
2015-01-22,1.5052,,1.1414,
2015-01-23,1.5022,,1.1279,
2015-01-26,1.5088,,1.1290,
2015-01-27,1.5196,,1.1370,
2015-01-28,1.5165,,1.1342,
2015-01-29,1.5043,,1.1308,
2015-01-30,1.5026,,1.1290,
2015-02-02,1.5027,,1.1337,
2015-02-03,1.5129,,1.1462,
2015-02-04,1.5209,,1.1418,
2015-02-05,1.5293,,1.1432,
2015-02-06,1.5247,,1.1330,
2015-02-09,1.5217,,1.1316,
2015-02-10,1.5252,,1.1316,
2015-02-11,1.5232,,1.1300,
2015-02-12,1.5380,,1.1410,
2015-02-13,1.5394,,1.1408,
2015-02-16,,,,
2015-02-17,1.5349,,1.1395,
2015-02-18,1.5430,,1.1342,
2015-02-19,1.5451,,1.1392,
2015-02-20,1.5385,,1.1372,
2015-02-23,1.5465,,1.1346,
2015-02-24,1.5434,,1.1307,
2015-02-25,1.5499,,1.1363,
2015-02-26,1.5424,,1.1212,
2015-02-27,1.5439,,1.1197,
2015-03-02,1.5371,,1.1190,
2015-03-03,1.5391,,1.1212,
2015-03-04,1.5266,,1.1070,
2015-03-05,1.5229,,1.1006,
2015-03-06,1.5063,,1.0855,
2015-03-09,1.5097,,1.0846,
2015-03-10,1.5086,,1.0707,
2015-03-11,1.4945,,1.0576,
2015-03-12,1.4907,,1.0615,
2015-03-13,1.4755,,1.0524,
2015-03-16,1.4800,,1.0575,
2015-03-17,1.4744,,1.0605,
2015-03-18,1.4686,,1.0643,
2015-03-19,1.4729,,1.0621,
2015-03-20,1.4923,,1.0792,
2015-03-23,1.4936,,1.0928,
2015-03-24,1.4870,,1.0908,
2015-03-25,1.4915,,1.0986,
2015-03-26,1.4844,,1.0919,
2015-03-27,1.4878,,1.0891,
2015-03-30,1.4792,,1.0818,
2015-03-31,1.4850,,1.0741,
2015-04-01,1.4823,,1.0768,
2015-04-02,1.4842,,1.0874,
2015-04-03,1.4916,,1.0990,
2015-04-06,1.4959,,1.1008,
2015-04-07,1.4857,,1.0850,
2015-04-08,1.4924,,1.0818,
2015-04-09,1.4739,,1.0671,
2015-04-10,1.4648,,1.0598,
2015-04-13,1.4658,,1.0582,
2015-04-14,1.4790,,1.0672,
2015-04-15,1.4782,,1.0596,
2015-04-16,1.4923,,1.0742,
2015-04-17,1.4942,,1.0780,
2015-04-20,1.4913,,1.0763,
2015-04-21,1.4944,,1.0758,
2015-04-22,1.5027,,1.0729,
2015-04-23,1.5047,,1.0803,
2015-04-24,1.5176,,1.0876,
2015-04-27,1.5235,,1.0892,
2015-04-28,1.5328,,1.0979,
2015-04-29,1.5485,,1.1174,
2015-04-30,1.5328,,1.1162,
2015-05-01,1.5137,,1.1194,
2015-05-04,1.5118,,1.1145,
2015-05-05,1.5178,,1.1174,
2015-05-06,1.5244,,1.1345,
2015-05-07,1.5223,,1.1283,
2015-05-08,1.5455,,1.1241,
2015-05-11,1.5593,,1.1142,
2015-05-12,1.5685,,1.1240,
2015-05-13,1.5748,,1.1372,
2015-05-14,1.5766,,1.1368,
2015-05-15,1.5772,,1.1428,
2015-05-18,1.5679,,1.1354,
2015-05-19,1.5523,,1.1151,
2015-05-20,1.5544,,1.1079,
2015-05-21,1.5672,,1.1126,
2015-05-22,1.5484,,1.1033,
2015-05-25,,,,
2015-05-26,1.5398,,1.0876,
2015-05-27,1.5324,,1.0888,
2015-05-28,1.5291,,1.0914,
2015-05-29,1.5286,,1.0994,
2015-06-01,1.5187,,1.0913,
2015-06-02,1.5331,,1.1130,
2015-06-03,1.5351,,1.1285,
2015-06-04,1.5367,,1.1271,
2015-06-05,1.5267,,1.1108,
2015-06-08,1.5280,,1.1232,
2015-06-09,1.5383,,1.1284,
2015-06-10,1.5530,,1.1307,
2015-06-11,1.5493,,1.1236,
2015-06-12,1.5587,,1.1278,
2015-06-15,1.5572,,1.1266,
2015-06-16,1.5637,,1.1238,
2015-06-17,1.5708,,1.1244,
2015-06-18,1.5882,,1.1404,
2015-06-19,1.5881,,1.1335,
2015-06-22,1.5823,,1.1378,
2015-06-23,1.5751,,1.1190,
2015-06-24,1.5681,,1.1178,
2015-06-25,1.5728,,1.1196,
2015-06-26,1.5739,,1.1156,
2015-06-29,1.5764,,1.1180,
2015-06-30,1.5727,,1.1154,
2015-07-01,1.5617,,1.1084,
2015-07-02,1.5614,,1.1090,
2015-07-03,,,,
2015-07-06,1.5619,,1.1076,
2015-07-07,1.5443,,1.0952,
2015-07-08,1.5353,,1.1072,
2015-07-09,1.5375,,1.1025,
2015-07-10,1.5503,,1.1150,
2015-07-13,1.5518,,1.1020,
2015-07-14,1.5584,,1.1015,
2015-07-15,1.5621,,1.0965,
2015-07-16,1.5601,,1.0898,
2015-07-17,1.5624,,1.0848,
2015-07-20,1.5587,,1.0850,
2015-07-21,1.5550,,1.0927,
2015-07-22,1.5617,,1.0884,
2015-07-23,1.5533,,1.0976,
2015-07-24,1.5514,,1.0976,
2015-07-27,1.5595,,1.1112,
2015-07-28,1.5617,,1.1055,
2015-07-29,1.5624,,1.1026,
2015-07-30,1.5581,,1.0914,
2015-07-31,1.5634,,1.1028,
2015-08-03,1.5603,,1.0962,
2015-08-04,1.5612,,1.0953,
2015-08-05,1.5604,,1.0868,
2015-08-06,1.5521,,1.0922,
2015-08-07,1.5467,,1.0958,
2015-08-10,1.5546,,1.0994,
2015-08-11,1.5572,,1.1042,
2015-08-12,1.5639,,1.1198,
2015-08-13,1.5595,,1.1144,
2015-08-14,1.5625,,1.1110,
2015-08-17,1.5598,,1.1078,
2015-08-18,1.5658,,1.1028,
2015-08-19,1.5645,,1.1061,
2015-08-20,1.5688,,1.1200,
2015-08-21,1.5698,,1.1356,
2015-08-24,1.5731,,1.1580,
2015-08-25,1.5698,,1.1410,
2015-08-26,1.5493,,1.1390,
